https://www.ctcrash.uconn.edu/QueryTool2.action?qid=182420
"CrashID","VehicleID","Trailer ID","Trailer Information Same As Carrier","Trailer Information Same As Power Unit","Trailer Information Same As Other Trailer","Trailer Owner City","Trailer Owner State","Trailer Owner Country","Trailer Owner Postal Code","Trailer License Plate Issuing State Code","Trailer License Plate Was Expired","Trailer License Plate Was Missing","Trailer Vehicle Identification Number"
"1146935","1","1","false","false","false","","","","","","","",""
"1146935","1","2","false","false","false","","","","","","","",""
"1146936","1","1","false","false","false","","","","","","","",""
"1146936","1","2","false","false","false","","","","","","","",""
"1146937","1","1","false","false","false","","","","","","","",""
"1146937","1","2","false","false","false","","","","","","","",""
"1146938","1","1","true","false","false","Brooklyn","32","","11229","","","",""
"1146938","1","2","false","false","false","","","","","","","",""
"1146938","2","1","false","false","false","","","","","","","",""
"1146938","2","2","false","false","false","","","","","","","",""
"1146938","3","1","false","false","false","","","","","","","",""
"1146938","3","2","false","false","false","","","","","","","",""
"1147049","1","1","false","false","false","","","","","","","",""
"1147049","1","2","false","false","false","","","","","","","",""
"1147370","1","1","false","false","false","","","","","","","",""
"1147370","1","2","false","false","false","","","","","","","",""
"1147530","1","1","false","false","false","","","","","","","",""
"1147530","1","2","false","false","false","","","","","","","",""
"1147570","1","1","false","false","false","","","","","","","",""
"1147570","1","2","false","false","false","","","","","","","",""
"1147570","2","1","false","false","false","","","","","","","",""
"1147570","2","2","false","false","false","","","","","","","",""
"1147628","1","1","false","false","false","","","","","","","",""
"1147628","1","2","false","false","false","","","","","","","",""
"1147628","2","1","false","false","false","","","","","","","",""
"1147628","2","2","false","false","false","","","","","","","",""
"1148612","1","1","false","false","false","","","","","","","",""
"1148612","1","2","false","false","false","","","","","","","",""
"1148612","2","1","false","false","false","","","","","","","",""
"1148612","2","2","false","false","false","","","","","","","",""
"1151026","1","1","false","false","false","","","","","","","",""
"1151026","1","2","false","false","false","","","","","","","",""
"1151133","1","1","false","false","false","","","","","","","",""
"1151133","1","2","false","false","false","","","","","","","",""
"1152164","1","1","false","false","false","","","","","","","",""
"1152164","1","2","false","false","false","","","","","","","",""
"1152236","1","1","false","false","false","","","","","","","",""
"1152236","1","2","false","false","false","","","","","","","",""
"1152236","2","1","false","false","false","","","","","","","",""
"1152236","2","2","false","false","false","","","","","","","",""
"1152745","1","1","false","false","false","","","","","","","",""
"1152745","1","2","false","false","false","","","","","","","",""
"1152745","2","1","false","false","false","","","","","","","",""
"1152745","2","2","false","false","false","","","","","","","",""
"1153919","1","1","false","false","false","","","","","","","",""
"1153919","1","2","false","false","false","","","","","","","",""
"1154539","1","1","false","false","false","","","","","","","",""
"1154539","1","2","false","false","false","","","","","","","",""
"1154539","2","1","false","false","false","","","","","","","",""
"1154539","2","2","false","false","false","","","","","","","",""
"1154539","3","1","false","false","false","","","","","","","",""
"1154539","3","2","false","false","false","","","","","","","",""
"1155606","1","1","true","false","false","ROCKFORD","13","","61102","13","","","13N2512CXC2053283"
"1155606","1","2","false","false","false","","","","","","","",""
"1155606","2","1","false","false","false","","","","","","","",""
"1155606","2","2","false","false","false","","","","","","","",""
"1155608","1","1","false","false","false","","","","","","","",""
"1155608","1","2","false","false","false","","","","","","","",""
"1155608","2","1","false","false","false","","","","","","","",""
"1155608","2","2","false","false","false","","","","","","","",""
"1156021","1","1","false","false","false","","","","","","","",""
"1156021","1","2","false","false","false","","","","","","","",""
"1156021","2","1","false","false","false","","","","","","","",""
"1156021","2","2","false","false","false","","","","","","","",""
"1156021","3","1","false","false","false","","","","","","","",""
"1156021","3","2","false","false","false","","","","","","","",""
"1156389","1","1","false","false","false","","","","","","","",""
"1156389","1","2","false","false","false","","","","","","","",""
"1156862","1","1","false","false","false","","","","","","","",""
"1156862","1","2","false","false","false","","","","","","","",""
"1156862","2","1","false","false","false","","","","","","","",""
"1156862","2","2","false","false","false","","","","","","","",""
"1157615","1","1","false","false","false","","","","","","","",""
"1157615","1","2","false","false","false","","","","","","","",""
"1158206","1","1","false","false","false","","","","","","","",""
"1158206","1","2","false","false","false","","","","","","","",""
"1159351","2","1","","","","","","","","","","",""
"1159351","2","2","","","","","","","","","","",""
"1159555","1","1","false","false","false","","","","","","","",""
"1159555","1","2","false","false","false","","","","","","","",""
"1159555","2","1","false","false","false","","","","","","","",""
"1159555","2","2","false","false","false","","","","","","","",""
"1160482","1","1","false","false","false","","","","","","","",""
"1160482","1","2","false","false","false","","","","","","","",""
"1160482","2","1","false","false","false","","","","","","","",""
"1160482","2","2","false","false","false","","","","","","","",""
"1160509","1","1","false","false","false","","","","","","","",""
"1160509","1","2","false","false","false","","","","","","","",""
"1160987","1","1","false","false","false","","","","","","","",""
"1160987","1","2","false","false","false","","","","","","","",""
"1160987","2","1","false","false","false","","","","","","","",""
"1160987","2","2","false","false","false","","","","","","","",""
"1161580","1","1","false","false","false","","","","","","","",""
"1161580","1","2","false","false","false","","","","","","","",""
"1161914","1","1","false","false","false","","","","","","","",""
"1161914","1","2","false","false","false","","","","","","","",""
"1161914","2","1","false","false","false","","","","","","","",""
"1161914","2","2","false","false","false","","","","","","","",""
"1161915","1","1","false","false","false","","","","","","","",""
"1161915","1","2","false","false","false","","","","","","","",""
"1162262","1","1","","","","","","","","","","",""
"1162262","1","2","","","","","","","","","","",""
"1162417","1","1","false","false","false","","","","","","","",""
"1162417","1","2","false","false","false","","","","","","","",""
"1163236","1","1","false","false","false","","","","","","","",""
"1163236","1","2","false","false","false","","","","","","","",""
"1163589","1","1","false","false","false","","","","","","","",""
"1163589","1","2","false","false","false","","","","","","","",""
"1163589","2","1","false","false","false","","","","","","","",""
"1163589","2","2","false","false","false","","","","","","","",""
"1163589","3","1","false","false","false","","","","","","","",""
"1163589","3","2","false","false","false","","","","","","","",""
"1165926","1","1","false","false","false","","","","","","","",""
"1165926","1","2","false","false","false","","","","","","","",""
"1165926","2","1","false","false","false","","","","","","","",""
"1165926","2","2","false","false","false","","","","","","","",""
"1166699","1","1","false","false","false","","","","","","","",""
"1166699","1","2","false","false","false","","","","","","","",""
"1166824","1","1","false","false","false","","","","","","","",""
"1166824","1","2","false","false","false","","","","","","","",""
"1167603","1","1","false","false","false","","","","","","","",""
"1167603","1","2","false","false","false","","","","","","","",""
"1167610","1","1","false","false","false","","","","","","","",""
"1167610","1","2","false","false","false","","","","","","","",""
"1167610","2","1","false","false","false","","","","","","","",""
"1167610","2","2","false","false","false","","","","","","","",""
"1167610","3","1","false","false","false","","","","","","","",""
"1167610","3","2","false","false","false","","","","","","","",""
"1168138","1","1","false","false","false","","","","","","","",""
"1168138","1","2","false","false","false","","","","","","","",""
"1168442","1","1","false","false","false","","","","","","","",""
"1168442","1","2","false","false","false","","","","","","","",""
"1168577","1","1","false","false","false","","","","","","","",""
"1168577","1","2","false","false","false","","","","","","","",""
"1168577","2","1","false","false","false","","","","","","","",""
"1168577","2","2","false","false","false","","","","","","","",""
"1171655","1","1","false","false","false","","","","","","","",""
"1171655","1","2","false","false","false","","","","","","","",""
"1171743","1","1","false","false","false","","","","","","","",""
"1171743","1","2","false","false","false","","","","","","","",""
"1172071","1","1","true","false","false","","","","","9 ","","","1UYVS253XYC399803"
"1172071","1","2","false","false","false","","","","","","","",""
"1172071","2","1","false","false","false","","","","","","","",""
"1172071","2","2","false","false","false","","","","","","","",""
"1172083","1","1","false","false","false","","","","","","","",""
"1172083","1","2","false","false","false","","","","","","","",""
"1172518","1","1","false","false","false","","","","","","","",""
"1172518","1","2","false","false","false","","","","","","","",""
"1172518","2","1","false","false","false","","","","","","","",""
"1172518","2","2","false","false","false","","","","","","","",""
"1172768","1","1","false","false","false","","","","","","","",""
"1172768","1","2","false","false","false","","","","","","","",""
"1174028","1","1","false","false","false","","","","","","","",""
"1174028","1","2","false","false","false","","","","","","","",""
"1174028","2","1","false","false","false","","","","","","","",""
"1174028","2","2","false","false","false","","","","","","","",""
"1174723","1","1","false","false","false","","","","","","","",""
"1174723","1","2","false","false","false","","","","","","","",""
"1174723","2","1","false","false","false","","","","","","","",""
"1174723","2","2","false","false","false","","","","","","","",""
"1174960","1","1","false","false","false","","","","","","","",""
"1174960","1","2","false","false","false","","","","","","","",""
"1174960","2","1","false","false","false","","","","","","","",""
"1174960","2","2","false","false","false","","","","","","","",""
"1175747","1","1","false","false","false","","","","","","","",""
"1175747","1","2","false","false","false","","","","","","","",""
"1175747","2","1","false","false","false","","","","","","","",""
"1175747","2","2","false","false","false","","","","","","","",""
"1176088","1","1","false","false","false","","","","","","","",""
"1176088","1","2","false","false","false","","","","","","","",""
"1176111","1","1","false","false","false","","","","","","","",""
"1176111","1","2","false","false","false","","","","","","","",""
"1176606","1","1","false","false","false","","","","","","","",""
"1176606","1","2","false","false","false","","","","","","","",""
"1176923","1","1","false","false","false","","","","","","","",""
"1176923","1","2","false","false","false","","","","","","","",""
"1177148","1","1","false","false","false","","","","","","","",""
"1177148","1","2","false","false","false","","","","","","","",""
"1177256","1","1","false","false","false","","","","","","","",""
"1177256","1","2","false","false","false","","","","","","","",""
"1178605","1","1","false","false","false","","","","","","","",""
"1178605","1","2","false","false","false","","","","","","","",""
"1178605","2","1","false","false","false","","","","","","","",""
"1178605","2","2","false","false","false","","","","","","","",""
"1178605","3","1","false","false","false","","","","","","","",""
"1178605","3","2","false","false","false","","","","","","","",""
"1179084","2","1","false","false","false","","","","","","","",""
"1179084","2","2","false","false","false","","","","","","","",""
"1179126","1","1","false","false","false","","","","","","","",""
"1179126","1","2","false","false","false","","","","","","","",""
"1179126","2","1","false","false","false","","","","","","","",""
"1179126","2","2","false","false","false","","","","","","","",""
"1179670","1","1","false","false","false","","","","","","","",""
"1179670","1","2","false","false","false","","","","","","","",""
"1179670","2","1","true","false","false","Vernon","6 ","UnitedStates","06066","6 ","","","55L1F2022LN007977"
"1179670","2","2","false","false","false","","","","","","","",""
"1185305","1","1","false","false","false","","","","","","","",""
"1185305","1","2","false","false","false","","","","","","","",""
"1185306","1","1","false","false","false","","","","","","","",""
"1185306","1","2","false","false","false","","","","","","","",""
"1185371","1","1","false","false","false","","","","","","","",""
"1185371","1","2","false","false","false","","","","","","","",""
"1185672","1","1","false","false","false","","","","","","","",""
"1185672","1","2","false","false","false","","","","","","","",""
"1186364","1","1","false","false","false","","","","","","","",""
"1186364","1","2","false","false","false","","","","","","","",""
"1186630","1","1","false","false","false","","","","","","","",""
"1186630","1","2","false","false","false","","","","","","","",""
"1187327","1","1","false","false","false","","","","","","","",""
"1187327","1","2","false","false","false","","","","","","","",""
"1187327","2","1","false","false","false","","","","","","","",""
"1187327","2","2","false","false","false","","","","","","","",""
"1189312","1","1","false","false","false","","","","","","","",""
"1189312","1","2","false","false","false","","","","","","","",""
"1189312","2","1","false","false","false","","","","","","","",""
"1189312","2","2","false","false","false","","","","","","","",""
"1189312","3","1","false","false","false","","","","","","","",""
"1189312","3","2","false","false","false","","","","","","","",""
"1189616","1","1","false","false","false","","","","","","","",""
"1189616","1","2","false","false","false","","","","","","","",""
"1190039","1","1","false","false","false","","","","","","","",""
"1190039","1","2","false","false","false","","","","","","","",""
"1190078","1","1","false","false","false","","","","","","","",""
"1190078","1","2","false","false","false","","","","","","","",""
"1190078","2","1","false","false","false","","","","","","","",""
"1190078","2","2","false","false","false","","","","","","","",""
"1190078","3","1","false","false","false","","","","","","","",""
"1190078","3","2","false","false","false","","","","","","","",""
"1190635","1","1","false","false","false","","","","","","","",""
"1190635","1","2","false","false","false","","","","","","","",""
"1190635","2","1","false","false","false","","","","","","","",""
"1190635","2","2","false","false","false","","","","","","","",""
"1191790","1","1","false","false","false","","","","","","","",""
"1191790","1","2","false","false","false","","","","","","","",""
"1191790","2","1","false","false","false","","","","","","","",""
"1191790","2","2","false","false","false","","","","","","","",""
"1191901","1","1","false","false","false","","","","","","","",""
"1191901","1","2","false","false","false","","","","","","","",""
"1191901","2","1","false","false","false","","","","","","","",""
"1191901","2","2","false","false","false","","","","","","","",""
"1192161","1","1","false","false","false","","","","","","","",""
"1192161","1","2","false","false","false","","","","","","","",""
"1192483","1","1","false","false","false","","","","","","","",""
"1192483","1","2","false","false","false","","","","","","","",""
"1192483","2","1","false","false","false","","","","","","","",""
"1192483","2","2","false","false","false","","","","","","","",""
"1192581","1","1","true","false","false","","","","","","","",""
"1192581","1","2","false","false","false","","","","","","","",""
"1192581","2","1","false","false","false","","","","","","","",""
"1192581","2","2","false","false","false","","","","","","","",""
"1192923","1","1","false","false","false","","","","","","","",""
"1192923","1","2","false","false","false","","","","","","","",""
"1192923","2","1","false","false","false","","","","","","","",""
"1192923","2","2","false","false","false","","","","","","","",""
"1193112","1","1","false","false","false","","","","","","","",""
"1193112","1","2","false","false","false","","","","","","","",""
"1193112","2","1","false","false","false","","","","","","","",""
"1193112","2","2","false","false","false","","","","","","","",""
"1193398","1","1","false","false","false","","","","","","","",""
"1193398","1","2","false","false","false","","","","","","","",""
"1193398","2","1","false","false","false","","","","","","","",""
"1193398","2","2","false","false","false","","","","","","","",""
"1193409","1","1","false","false","false","","","","","","","",""
"1193409","1","2","false","false","false","","","","","","","",""
"1193483","1","1","false","false","false","","","","","","","",""
"1193483","1","2","false","false","false","","","","","","","",""
"1193483","2","1","false","false","false","","","","","","","",""
"1193483","2","2","false","false","false","","","","","","","",""
"1193508","1","1","false","false","false","","","","","","","",""
"1193508","1","2","false","false","false","","","","","","","",""
"1194778","1","1","false","false","false","","","","","","","",""
"1194778","1","2","false","false","false","","","","","","","",""
"1194778","2","1","false","false","false","","","","","","","",""
"1194778","2","2","false","false","false","","","","","","","",""
"1194942","1","1","false","false","false","","","","","","","",""
"1194942","1","2","false","false","false","","","","","","","",""
